🕑プレイ時間,タイプ,LV,調子,出現地方,モンスター名,系統,未使用,カウント,HP,MP,⚔️攻撃力,🛡️守備力,🏃‍♂️素早さ,💡賢さ,🏃‍♂️身かわし,💰経験値,💰GOLD,行動,🪄魔法,🏃‍♂️逃げるか？,仲間をよぶか？,🎁ドロップアイテム,🎁アイテムの入手確率※,耐性※
2034-01-02,⚔️️戦士系,29,-,サマンオサ北東周辺,ガメゴン⚔️️(29),未分類,0,1,68,0,89,200,25,1,0,652,88,あまいいき,-,いいえ,-,🪖てつかぶと,D,炎○|ヒ○|バ○|デ△|死△|犠×|光◎|幻○|眠△|吸◎|封◎|乱○|守○|早△
2029-03-01,🪄魔法系,32,-,北方大陸（南）,ごくらくちょう🪄(32),未分類,0,1,90,20,88,40,60,0,1,980,85,-,💖ベホマラー,はい,-,🎫すごろくけん,C,炎△|ヒ△|バ△|デ△|死○|犠×|光◎|幻×|眠△|吸△|封△|乱△|守×|早×
2029-02-02,🪄魔法系,26,-,北方大陸（東）,ばくだんいわ🪄(26),未分類,0,1,500,4,0,0,0,1,0,660,105,様子を見る,"💀メガンテ,💀メガンテ",いいえ,-,💎いのちのいし,E,炎×|ヒ×|バ×|デ×|死◎|犠×|光○|幻×|眠◎|吸◎|封◎|乱◎|守×|早◎
2029-02-03,⚔️️戦士系,27,-,北方大陸（東）,グリズリー⚔️️(27),未分類,0,1,110,0,140,90,33,0,0,523,65,痛恨の一撃,-,いいえ,-,🌱ちからのたね,D,炎△|ヒ○|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2034-01-03,🪄魔法系,29,-,サマンオサ北東周辺,ゾンビマスター🪄(29),未分類,0,1,120,20,68,60,67,1,1,673,95,-,"👼ザオラル,⬇️マホトラ,💖ベホイミ,💖ベホイミ,👼ザオラル",はい,くさったしたいを呼ぶ,🌿せかいじゅのは,F,炎△|ヒ○|バ○|デ×|死○|犠×|光○|幻×|眠○|吸△|封○|乱△|守△|早△
2035-01-01,🪄魔法系,36,-,ネクロゴンドの洞窟4F,ガメゴンロード🪄(36),未分類,0,1,120,15,113,200,90,2,0,1420,120,かえんのいき,"🛡️🪄マホカンタ,⚔️⬆️スクルト",いいえ,-,🌱ラックのたね,D,炎○|ヒ○|バ○|デ○|死○|犠△|光◎|幻△|眠△|吸○|封○|乱○|守×|早△
2032-01-02,⚔️️戦士系,25,-,グリンラッドの島,スノードラゴン⚔️️(25),未分類,0,1,110,0,93,60,50,0,2,440,90,"つめたいいき,こおりのいき",-,いいえ,-,💎いのちのきのみ,E,炎×|ヒ◎|バ×|デ×|死○|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2036-01-01,⚔️️戦士系,33,-,ネクロゴンド周辺,トロル⚔️️(33),未分類,0,1,250,0,155,32,42,0,0,1030,105,痛恨の一撃,-,いいえ,-,⚒️こんぼう,D,炎×|ヒ×|バ×|デ×|死○|犠×|光○|幻△|眠△|吸◎|封◎|乱△|守×|早×
2036-01-02,🪄魔法系,33,-,ネクロゴンド周辺,フロストギズモ🪄(33),未分類,0,1,80,18,72,47,51,1,1,1070,68,つめたいいき,❄️ヒャダルコ,いいえ,-,🎫すごろくけん,C,炎×|ヒ◎|バ△|デ×|死△|犠×|光◎|幻×|眠△|吸△|封○|乱△|守△|早×
2035-02-01,🪄魔法系,16,-,ネクロゴンドの洞窟2F～4F,おどるほうせき🪄(16),未分類,0,1,50,999,57,100,70,2,7,10,1023,"ふしぎなおどり,様子を見る","⬇️マヌーサ,🛡️⬇️ルカナン,🏃⬇️ボミオス,⬇️メダパニ",はい,-,👕はでなふく,F,炎◎|ヒ◎|バ◎|デ◎|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早◎
2029-03-02,🪄魔法系,28,-,北方大陸（南）,ミニデーモン🪄(28),未分類,0,1,80,24,85,45,55,1,1,587,89,つめたいいき,🔥メラミ,いいえ,-,🪖ふこうのかぶと,E,炎△|ヒ×|バ×|デ×|死○|犠×|光◎|幻△|眠○|吸△|封○|乱○|守△|早△
2037-01-01,⚔️️戦士系,35,-,浅瀬のほこら近海,テンタクルス⚔️️(35),未分類,0,1,200,0,107,15,36,0,0,1280,120,-,,いいえ,-,ぶとうぎ,E,炎×|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早△
2031-01-02,🪄魔法系,31,-,サマンオサ南の洞窟B1～B4,がいこつけんし🪄(31),未分類,0,1,75,18,95,58,75,1,0,843,68,-,🛡️⬇️ルカナン,いいえ,-,🗡️はがねのつるぎ,E,炎△|ヒ△|バ△|デ△|死○|犠×|光△|幻○|眠△|吸○|封△|乱○|守△|早×
2038-01-01,🪄魔法系,34,-,地球のへそB1（宝箱）,ミミック🪄(34),未分類,0,1,240,10,94,78,100,1,3,735,110,-,"💀ザキ,⬇️マホトラ,🔥メラミ,😴ラリホー",いいえ,-,🪓まじんのオノ,F,炎○|ヒ○|バ△|デ×|死○|犠×|光○|幻△|眠○|吸×|封◎|乱◎|守△|早○
2035-03-01,⚔️️戦士系,34,-,ネクロゴンドの洞窟B1～4F,じごくのきし⚔️️(34),未分類,0,1,130,0,115,63,58,1,0,1190,73,やけつくいき,-,いいえ,-,🌱すばやさのたね,F,炎△|ヒ△|バ△|デ△|死○|犠×|光△|幻△|眠○|吸◎|封◎|乱○|守×|早△
2035-04-01,🪄魔法系,34,-,ネクロゴンドの洞窟B1～3F,ホロゴースト🪄(34),未分類,0,1,85,20,67,47,59,0,2,1040,42,-,"💀ザキ,💀ザラキ",いいえ,-,🎫すごろくけん,B,炎○|ヒ◎|バ△|デ△|死◎|犠×|光△|幻△|眠○|吸△|封△|乱△|守△|早△
2030-02-01,🪄魔法系,63,-,ジパングの洞窟B2（固定）,やまたのおろち（1）🪄(63),未分類,0,1,1800,12,130,68,40,1,0,2080,0,かえんのいき,-,いいえ,-,🗡️くさなぎのけん,-,炎◎|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻△|眠○|吸◎|封◎|乱◎|守△|早◎
2020-01-02,⚔️️戦士系,37,-,バラモス城,うごくせきぞう⚔️️(37),未分類,0,1,195,0,140,40,29,0,0,1780,82,痛恨の一撃,-,いいえ,-,🛡️だいちのよろい,E,炎○|ヒ△|バ△|デ△|死○|犠△|光◎|幻○|眠△|吸◎|封◎|乱○|守△|早×
2039-01-01,⚔️️戦士系,42,-,ラダトーム東周辺・ゾーマの島（北）,サラマンダー⚔️️(42),未分類,0,1,200,0,150,59,70,0,0,6000,180,はげしいほのお,-,いいえ,-,🌱ちからのたね,E,炎○|ヒ×|バ×|デ×|死○|犠×|光◎|幻△|眠○|吸◎|封◎|乱○|守△|早△
2039-02-01,⚔️️戦士系,63,-,ラダトーム西周辺,スライムベス⚔️️(63),未分類,0,1,6,0,18,6,7,0,0,8,2,-,,はい,-,🍃薬草,D,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠×|吸×|封×|乱×|守×|早×
2039-01-02,⚔️️戦士系,35,-,ラダトーム東周辺・ゾーマの島（北）,マドハンド⚔️️(35),未分類,0,1,70,0,90,75,59,2,0,720,78,-,,いいえ,"だいまじんを呼ぶ,仲間を呼ぶ",🗡️てつのつめ,D,炎×|ヒ△|バ△|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2033-01-02,🪄魔法系,38,-,ドムドーラ周辺,まおうのかげ🪄(38),未分類,0,1,130,30,105,60,80,1,1,1710,77,あまいいき,💀ザキ,いいえ,-,💎いのちのいし,D,炎△|ヒ◎|バ△|デ×|死○|犠×|光○|幻△|眠◎|吸○|封×|乱◎|守△|早○
2040-01-01,🪄魔法系,38,-,メルキド西周辺,マクロベータ🪄(38),未分類,0,1,150,999,80,60,72,1,0,1930,105,"ひのいき,ふしぎなおどり","💖ベホマ,🔥メラミ,⚔️⬆️スクルト",はい,くさったしたいを呼ぶ,どくがのこな,D,炎○|ヒ△|バ△|デ×|死○|犠×|光◎|幻△|眠△|吸○|封○|乱△|守△|早△
2023-02-01,🪄魔法系,24,-,スー西周辺,はぐれメタル🪄(24),未分類,0,1,6,999,55,1023,150,0,2,40200,10,-,🔥ギラ,はい,-,👟しあわせのくつ,D,炎◎|ヒ◎|バ◎|デ◎|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早◎
2041-01-01,🪄魔法系,36,-,ガライ周辺,グール🪄(36),未分類,0,1,170,5,95,10,45,1,0,1270,48,-,⬇️マヌーサ,いいえ,ゾンビマスターを呼ぶ,👕みかわしのふく,F,炎×|ヒ×|バ×|デ×|死○|犠×|光△|幻◎|眠◎|吸◎|封△|乱○|守×|早△
2035-02-02,🪄魔法系,35,-,ネクロゴンドの洞窟2F～4F,ライオンヘッド🪄(35),未分類,0,1,115,30,120,80,47,2,1,1350,98,-,"🔥ベギラマ,⬇️マホトーン",いいえ,-,🛡️なげきのたて,F,炎○|ヒ△|バ△|デ×|死○|犠△|光◎|幻○|眠○|吸○|封△|乱○|守△|早△
2042-01-01,⚔️️戦士系,38,-,サマンオサの城（固定）,ボストロール⚔️️(38),未分類,0,1,1500,999,180,120,80,2,0,2500,105,痛恨の一撃,🛡️⬇️ルカナン,いいえ,-,🌱ちからのたね,D,炎○|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸○|封△|乱◎|守○|早◎
2043-01-01,⚔️️戦士系,40,-,リムルダール南周辺,ゴールドマン⚔️️(40),未分類,0,1,210,0,165,50,60,0,0,390,1023,-,,はい,-,🗡️おうごんのつめ,F,炎×|ヒ◎|バ◎|デ◎|死◎|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早×
2040-01-02,⚔️️戦士系,39,-,メルキド西周辺,スカルゴン⚔️️(39),未分類,0,1,200,0,130,65,62,1,1,2350,78,"つめたいいき,こおりのいき",-,いいえ,-,🌱ちからのたね,E,炎×|ヒ◎|バ△|デ×|死○|犠×|光○|幻△|眠△|吸◎|封◎|乱△|守△|早△
2044-01-01,🪄魔法系,36,-,アレフガルド海域,キングマーマン🪄(36),未分類,0,1,120,12,125,85,72,2,0,1590,110,-,❄️ヒャダルコ,いいえ,ごくらくちょうを呼ぶ,👕まほうのビキニ,D,炎△|ヒ○|バ△|デ×|死○|犠×|光◎|幻×|眠○|吸△|封△|乱○|守×|早△
2044-01-02,⚔️️戦士系,38,-,アレフガルド海域,クラーゴン⚔️️(38),未分類,0,1,450,0,150,10,52,1,0,2090,160,痛恨の一撃,-,はい,-,💎いのちのきのみ,E,炎△|ヒ○|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早△
2045-01-01,⚔️️戦士系,39,-,岩山の洞窟,ダースリカント⚔️️(39),未分類,0,1,150,0,155,70,58,1,0,2080,130,痛恨の一撃,-,はい,-,🌱すばやさのたね,D,炎△|ヒ×|バ△|デ×|死△|犠×|光◎|幻○|眠△|吸◎|封◎|乱△|守△|早△
2046-01-01,⚔️️戦士系,43,-,ゾーマの城B2～B4,だいまじん⚔️️(43),未分類,0,1,350,0,200,90,35,0,0,2500,150,痛恨の一撃,-,いいえ,-,🗡️らいじんのけん,F,炎×|ヒ△|バ○|デ×|死○|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2047-01-01,🪄魔法系,42,-,ルビスの塔1F～5F,ラゴンヌ🪄(42),未分類,0,1,140,24,139,80,70,1,0,2780,90,-,"❄️マヒャド,💖ベホマ",いいえ,-,🛡️なげきのたて,E,炎△|ヒ△|バ×|デ×|死○|犠×|光◎|幻○|眠○|吸◎|封○|乱○|守○|早○
2039-01-03,🪄魔法系,43,-,ラダトーム東周辺・ゾーマの島（北）,アークマージ🪄(43),未分類,0,1,130,100,90,150,75,2,1,2850,140,つめたいいき,"👼ザオリク,👼ザオリク,🔥イオナズン",いいえ,-,🪄さざなみのつえ,E,炎○|ヒ○|バ×|デ×|死○|犠×|光◎|幻△|眠◎|吸△|封○|乱△|守△|早○
2040-02-01,🪄魔法系,30,-,メルキド周辺,メイジキメラ🪄(30),未分類,0,1,100,53,105,80,150,1,2,2240,125,-,"💖ベホマ,⬇️メダパニ,🛡️🪄マホカンタ",はい,-,🎩ふしぎなぼうし,D,炎○|ヒ△|バ△|デ×|死○|犠×|光◎|幻×|眠○|吸△|封△|乱○|守×|早△
2048-01-01,🪄魔法系,41,-,ラダトーム北の洞窟B1～B3,サタンパピー🪄(41),未分類,0,1,125,48,115,80,58,1,1,2490,90,-,"🔥メラゾーマ,💖ベホマラー",はい,-,🗡️ゆうわくのけん,F,炎△|ヒ◎|バ△|デ×|死○|犠×|光○|幻×|眠○|吸○|封△|乱△|守△|早◎
2048-01-02,⚔️️戦士系,41,-,ラダトーム北の洞窟B1～B3,ヒドラ⚔️️(41),未分類,0,1,150,0,137,120,76,0,0,3090,95,かえんのいき,-,いいえ,-,🌿せかいじゅのは,F,炎○|ヒ×|バ○|デ×|死◎|犠×|光◎|幻△|眠○|吸◎|封◎|乱◎|守○|早○
2048-01-03,🪄魔法系,57,-,ラダトーム北の洞窟B1～B3,トロルキング🪄(57),未分類,0,1,250,27,150,78,67,2,0,3050,120,-,💫バシルーラ,いいえ,-,🗡️らいじんのけん,F,炎△|ヒ△|バ△|デ△|死○|犠×|光◎|幻△|眠△|吸○|封△|乱○|守△|早△
2047-02-01,⚔️️戦士系,42,-,ルビスの塔5F,ドラゴン⚔️️(42),未分類,0,1,120,0,140,75,62,2,0,2600,107,かえんのいき,-,いいえ,ごくらくちょうを呼ぶ,🌱スタミナのたね,D,炎○|ヒ△|バ△|デ×|死△|犠×|光◎|幻△|眠◎|吸◎|封◎|乱△|守△|早△
2046-02-01,🪄魔法系,43,-,ゾーマの城1F～B4,バルログ🪄(43),未分類,0,1,93,21,100,57,55,1,1,3270,80,-,💀ザラキ,いいえ,-,🎩ふしぎなぼうし,E,炎△|ヒ○|バ○|デ×|死◎|犠○|光○|幻△|眠○|吸◎|封△|乱○|守△|早△
2046-01-02,⚔️️戦士系,44,-,ゾーマの城B2～B4,ドラゴンゾンビ⚔️️(44),未分類,0,1,350,0,170,45,43,0,0,3500,53,"こおりのいき,つめたいいき",-,いいえ,-,🌱ちからのたね,E,炎×|ヒ◎|バ○|デ△|死◎|犠△|光△|幻△|眠○|吸◎|封◎|乱○|守×|早△
2046-02-02,🪄魔法系,44,-,ゾーマの城1F～B4,マントゴーア🪄(44),未分類,0,1,160,50,145,60,78,2,0,3060,120,-,"🔥メラゾーマ,🔥バギクロス,🛡️🪄マホカンタ",いいえ,-,🛡️なげきのたて,E,炎×|ヒ○|バ×|デ×|死○|犠△|光◎|幻×|眠△|吸△|封△|乱○|守×|早△
2046-03-01,⚔️️戦士系,45,-,ゾーマの城B3～B4,ソードイド⚔️️(45),未分類,0,1,170,31,158,72,99,2,0,3180,87,痛恨の一撃,💖ベホイミ,いいえ,-,🗡️ふぶきのつるぎ,E,炎△|ヒ○|バ○|デ△|死○|犠○|光△|幻○|眠○|吸△|封○|乱○|守△|早△
2046-04-01,⚔️️戦士系,46,-,ゾーマの城B5（固定）,キングヒドラ⚔️️(46),未分類,0,1,1600,0,280,150,50,0,0,12200,350,かえんのいき,-,いいえ,-,🛡️ドラゴンメイル,E,炎◎|ヒ△|バ×|デ×|死◎|犠◎|光◎|幻◎|眠○|吸◎|封◎|乱◎|守△|早◎
2046-04-02,🪄魔法系,63,-,ゾーマの城B5（固定）,バラモスブロス🪄(63),未分類,0,1,1100,999,210,300,72,2,1,13500,450,はげしいほのお,🔥イオナズン,いいえ,-,🛡️なげきのたて,F,炎△|ヒ△|バ△|デ△|死◎|犠◎|光◎|幻△|眠◎|吸◎|封○|乱◎|守△|早◎
2046-04-03,⚔️️戦士系,63,-,ゾーマの城B5（固定）,バラモスゾンビ⚔️️(63),未分類,0,1,3000,0,400,0,0,0,0,14300,115,-,,いいえ,-,🗡️はかいのつるぎ,F,炎×|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻○|眠◎|吸◎|封◎|乱◎|守◎|早◎
2020-01-03,🪄魔法系,63,-,バラモス城B1,バラモス(SFC版)🪄(63),未分類,0,1,2500,999,240,200,85,2,0,65535,0,はげしいほのお,"🔥イオナズン,🔥メラゾーマ,⬇️メダパニ,🔥イオナズン,💫バシルーラ",いいえ,-,-,-,炎○|ヒ△|バ△|デ×|死◎|犠◎|光◎|幻△|眠○|吸◎|封○|乱◎|守△|早◎
2020-01-04,🪄魔法系,63,-,バラモス城B1,バラモス(GBC版)🪄(63),未分類,0,1,3000,999,240,200,85,2,0,65535,0,はげしいほのお,"🔥イオナズン,🔥メラゾーマ,⬇️メダパニ,🔥イオナズン,💫バシルーラ",いいえ,-,-,-,炎○|ヒ△|バ△|デ×|死◎|犠◎|光◎|幻△|眠○|吸◎|封○|乱◎|守△|早◎
2046-04-04,🪄魔法系,63,-,ゾーマの城B5（固定）,ゾーマ（1）🪄(63),未分類,0,1,4500,999,500,350,255,2,0,0,0,"こごえるふぶき,こごえるふぶき,いてつくはどう,こごえるふぶき,こごえるふぶき","❄️マヒャド,🛡️🪄マホカンタ",いいえ,-,-,-,炎◎|ヒ◎|バ◎|デ◎|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早◎
2049-01-01,🪄魔法系,63,-,謎の塔外観・2F～5F,ほうおう🪄(63),未分類,0,1,350,999,250,150,90,2,7,3700,150,-,"💖ベホマラー,💫バシルーラ",いいえ,-,🌿せかいじゅのは,D,炎△|ヒ△|バ△|デ△|死○|犠△|光◎|幻△|眠△|吸△|封△|乱△|守×|早×
2049-01-02,⚔️️戦士系,63,-,謎の塔外観・2F～5F,てんのもんばん⚔️️(63),未分類,0,1,700,0,350,200,100,1,0,8500,130,痛恨の一撃,-,いいえ,-,💎いかりのタトゥー,D,炎×|ヒ△|バ△|デ×|死○|犠◎|光◎|幻◎|眠○|吸◎|封◎|乱△|守○|早△
2050-01-01,⚔️️戦士系,63,-,謎の洞窟4,メタルキメラ⚔️️(63),未分類,0,1,150,0,170,350,120,2,4,9000,50,"こおりのいき,こごえるふぶき",-,いいえ,-,👟しあわせのくつ,E,炎◎|ヒ◎|バ◎|デ×|死◎|犠○|光◎|幻×|眠○|吸◎|封◎|乱◎|守○|早×
2050-02-01,🪄魔法系,63,-,謎の洞窟1～2・4,デビルウィザード🪄(63),未分類,0,1,350,999,180,170,150,2,0,4300,210,-,"👼ザオリク,🔥イオナズン,💖ベホマ,🛡️⬇️ルカナン,⚔️⬆️バイキルト,⬇️マホトーン",いいえ,-,💍いのりのゆびわ,C,炎△|ヒ△|バ△|デ×|死◎|犠△|光◎|幻×|眠○|吸◎|封◎|乱◎|守×|早×
2050-03-01,🪄魔法系,63,-,謎の洞窟1～3・6,キラークラブ🪄(63),未分類,0,1,180,999,230,250,115,0,0,2500,80,-,"😴ラリホー,⚔️⬆️スカラ,⚔️⬆️スクルト",いいえ,-,おおばさみ,C,炎×|ヒ×|バ×|デ×|死◎|犠×|光×|幻◎|眠◎|吸◎|封○|乱○|守×|早×
2050-03-02,⚔️️戦士系,63,-,謎の洞窟1～3・6,ダークトロル⚔️️(63),未分類,0,1,700,8,330,80,50,2,0,3700,63,痛恨の一撃,⚔️⬆️バイキルト,いいえ,-,📖あたまがさえるほん,C,炎×|ヒ×|バ×|デ×|死○|犠△|光◎|幻×|眠○|吸◎|封◎|乱○|守×|早○
2050-04-01,⚔️️戦士系,63,-,謎の洞窟3～4・6,デーモンソード⚔️️(63),未分類,0,1,300,0,220,150,90,1,0,2800,52,やけつくいき,-,いいえ,-,🗡️もろはのつるぎ,E,炎△|ヒ○|バ○|デ△|死◎|犠△|光△|幻○|眠△|吸◎|封◎|乱○|守○|早×
2050-05-01,🪄魔法系,63,-,謎の洞窟1～2,バラモスエビル🪄(63),未分類,0,1,900,999,260,140,110,1,0,7300,150,こごえるふぶき,"🔥メラゾーマ,🔥イオナズン",いいえ,-,🧆ふしぎなきのみ,F,炎×|ヒ×|バ◎|デ◎|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早×
2049-02-01,🪄魔法系,63,-,謎の塔（固定）,しんりゅう🪄(63),未分類,0,1,7300,999,400,350,255,2,0,50000,0,"かみくだく,のしかかる,にらみつける,いてつくはどう,こごえるふぶき,しゃくねつ",🔥イオナズン,いいえ,-,🌱ちからのたね,C,炎×|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早◎
2006-03-01,⚔️️戦士系,63,-,シャンパーニの塔4F（固定）,カンダタ（1）⚔️️(63),未分類,0,1,300,0,70,54,10,0,2,2200,0,痛恨の一撃,-,いいえ,-,-,-,炎△|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守△|早◎
2006-03-02,⚔️️戦士系,63,-,シャンパーニの塔4F（固定）,カンダタこぶん（1）⚔️️(63),未分類,0,1,60,0,45,31,20,0,0,80,0,-,,いいえ,-,-,-,炎×|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻△|眠×|吸◎|封◎|乱◎|守×|早◎
2019-02-01,🪄魔法系,63,-,バハラタ東の洞窟B2（固定）,カンダタこぶん（2）🪄(63),未分類,0,1,120,20,65,60,37,1,2,100,0,-,"🛡️⬇️ルカナン,💖ベホイミ",いいえ,-,-,-,炎×|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻○|眠○|吸◎|封○|乱◎|守△|早○
2051-01-01,🪄魔法系,63,-,ジパング（固定）,やまたのおろち（2）🪄(63),未分類,0,1,2000,12,140,68,50,1,0,8040,1000,"かえんのいき,ひのいき",-,いいえ,-,-,-,炎◎|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻△|眠◎|吸◎|封◎|乱◎|守△|早◎
2046-04-05,🪄魔法系,63,-,ゾーマの城B5（固定）,ゾーマ（2）🪄(63),未分類,0,1,4700,999,360,200,80,1,0,0,0,"こごえるふぶき,いてつくはどう",❄️マヒャド,いいえ,-,-,-,炎×|ヒ◎|バ○|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守×|早◎
2019-02-02,⚔️️戦士系,63,-,バハラタ東の洞窟B2（固定）,カンダタ（2）⚔️️(63),未分類,0,1,700,0,95,70,23,1,0,4800,0,痛恨の一撃,-,いいえ,-,-,-,炎△|ヒ△|バ×|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守△|早◎
2052-01-01,⚔️️戦士系,63,-,氷の洞窟B2～B3,シルバーベア⚔️️(63),未分類,0,1,350,0,230,100,95,1,0,2500,140,痛恨の一撃,-,いいえ,仲間を呼ぶ,🌿せかいじゅのは,E,炎×|ヒ○|バ×|デ×|死○|犠△|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2052-01-02,🪄魔法系,72,-,氷の洞窟B2～B3,ホワイトライオン🪄(72),未分類,0,1,450,100,250,130,105,2,0,3500,140,-,"❄️マヒャド,💖ベホマ",いいえ,-,🌱かしこさのたね,C,炎×|ヒ○|バ×|デ×|死◎|犠△|光◎|幻◎|眠○|吸○|封△|乱○|守△|早△
2052-01-03,⚔️️戦士系,72,-,氷の洞窟B2～B3,キースドラゴン⚔️️(72),未分類,0,1,550,0,310,150,100,2,0,4200,150,"こごえるふぶき,痛恨の一撃",-,いいえ,-,💎いのちのきのみ,C,炎△|ヒ△|バ△|デ×|死○|犠△|光◎|幻○|眠◎|吸◎|封◎|乱◎|守△|早△
2052-02-01,🪄魔法系,72,-,氷の洞窟B4～B5,パンドラボックス🪄(72),未分類,0,1,750,200,230,180,150,1,1,6000,400,やけつくいき,"⬇️マホトラ,💀ザラキ",いいえ,-,💎いかりのタトゥー,D,炎○|ヒ△|バ△|デ△|死◎|犠◎|光◎|幻×|眠◎|吸◎|封△|乱○|守△|早○
2052-03-01,⚔️️戦士系,63,-,氷の洞窟B3（西）～B5,アイアンナイト⚔️️(63),未分類,0,1,300,60,200,200,120,2,0,3300,120,痛恨の一撃,"⚔️⬆️バイキルト,⚔️⬆️スクルト,🛡️⬇️ルカナン",いいえ,-,🌱スタミナのたね,C,炎△|ヒ△|バ◎|デ×|死○|犠△|光◎|幻△|眠○|吸△|封△|乱◎|守○|早△
2052-02-02,⚔️️戦士系,63,-,氷の洞窟B4～B5,ダースドラゴン⚔️️(63),未分類,0,1,700,0,280,170,110,1,0,4500,220,"はげしいほのお,痛恨の一撃",-,いいえ,-,🌱ちからのたね,C,炎△|ヒ△|バ○|デ△|死◎|犠△|光◎|幻◎|眠◎|吸◎|封◎|乱○|守○|早○
2052-04-01,🪄魔法系,60,-,氷の洞窟B2～B5,メタルハンド🪄(60),未分類,0,1,180,12,210,200,85,1,0,2000,90,-,🔥ベギラマ,いいえ,仲間を呼ぶ,🌱ラックのたね,C,炎○|ヒ◎|バ◎|デ△|死○|犠△|光◎|幻◎|眠△|吸◎|封◎|乱○|守△|早△
2052-01-04,🪄魔法系,58,-,氷の洞窟B2～B3,ダースギズモ🪄(58),未分類,0,1,240,120,230,150,115,1,1,3200,100,はげしいほのお,"🔥イオナズン,🔥メラゾーマ",いいえ,-,🧆ふしぎなきのみ,C,炎△|ヒ×|バ×|デ△|死○|犠○|光◎|幻×|眠△|吸◎|封○|乱○|守△|早△
2052-02-03,⚔️️戦士系,63,-,氷の洞窟B4～B5,はがねのきょぞう⚔️️(63),未分類,0,1,1000,0,330,200,60,1,0,6500,450,"のしかかる,痛恨の一撃",-,いいえ,-,🎫すごろくけん,F,炎×|ヒ×|バ○|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸×|封◎|乱○|守×|早×
2052-05-01,🪄魔法系,72,-,氷の洞窟B6（固定）,グランドラゴーン🪄(72),未分類,0,1,10000,999,420,360,150,2,0,50000,0,"かみくだく,のしかかる,にらみつける,いてつくはどう,はげしいほのお,しゃくねつ",🔥イオナズン,いいえ,-,-,-,炎×|ヒ×|バ×|デ×|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱◎|守◎|早◎
